brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Ford,Focus,Berline,1560,70,79816,0, 5.83 ,9890
Opel,Astra,Berline,1248,66,137593,0, 7.92 ,5500
Mercedes-Benz,350,Cabriolet,3499,148,175000,0, 46.36 ,22000
Citroen,Jumpy,Van,1560,66,135000,0, 6.25 ,6500
Seat,Leon,Break,1598,81,17028,0, 1.58 ,22499
Opel,Mokka,4x4,1364,85,60900,0, 4.50 ,13800
Fiat,Qubo,Monovolume/Camionnette,1360,54,33876,0, 5.16 ,4950
Porsche,911,Coupe,3600,210,80797,0, 22.84 ,120000
BMW,320 Limousine,Berline,1995,120,55721,0, 4.67 ,19990
Hyundai,Tucson,Berline,1700,85,56028,0, 1.99 ,20472
Volkswagen,Polo,Compacte,1422,66,36163,0, 1.24 ,14990
Opel,Zafira Tourer,Monovolume/Camionnette,1598,88,21245,0, 1.41 ,17749
Mercedes-Benz,E 220,Berline,2143,120,116000,0, 4.33 ,22900
Ford,Thunderbird,Cabriolet,4700,149,68000,0, 61.28 ,34950
Renault,Megane,Berline,1461,81,52225,0, 4.74 ,9650
Opel,KARL,Berline,999,55,3898,0, 0.99 ,9887
Porsche,928S '82,Coupe,4664,220,211825,0, 35.85 ,24950
BMW,518 Limousine,Berline,1995,105,84000,0, 3.83 ,26900
Land Rover,Defender,4x4,2495,90,156000,0, 16.51 ,19950
Volkswagen,Sharan,Monovolume/Camionnette,1968,100,94800,0, 3.67 ,24200
Opel,Astra,Compacte,1398,74,45000,0, 4.42 ,13990
Opel,Astra Sports Tourer,Break,999,78,22400,0, 0.99 ,16499
Opel,Meriva,Monovolume/Camionnette,1686,81,105200,0, 5.92 ,8950
Peugeot,108,Compacte,998,51,8940,0, 1.39 ,10390
BMW,225 Coupe,Monovolume/Camionnette,1998,170,69989,0, 2.99 ,21990
Skoda,Yeti,4x4,1968,81,19000,0, 1.83 ,18990
BMW,520 Touring,Break,1995,120,184000,0, 9.33 ,7250
Rolls-Royce,Silver Wraith II '80,Roadster,6750,132,104289,0, 37.85 ,19950
Audi,A5,Cabriolet,1968,120,144000,0, 5.92 ,21000
Opel,Insignia,Break,1956,96,102000,0, 4.25 ,12990
