volumnia,66
whereof,66
mock,66
athens,66
falls,65
angry,65
blow,65
wounds,65
trumpet,65
suffer,65
virtuous,65
forgot,65
alive,65
orleans,65
humour,65
fearful,65
safety,64
wits,64
tongues,64
constable,64
whiles,64
tower,64
perceive,64
patient,64
plantagenet,64
judge,64
carry,64
holds,64
prayers,64
honesty,64
grey,63
fine,63
forget,63
theseus,63
launcelot,63
borne,63
commend,63
dinner,63
weary,63
hearing,63
caesars,63
sometime,63
ross,63
doctor,63
bitter,63
philip,62
occasion,62
princely,62
sudden,62
steal,62
labour,62
folly,62
laer,62
several,62
mer,62
banquo,62
aught,62
flavius,61
twixt,61
dukes,61
liberty,61
proof,61
prisoner,61
cunning,61
wine,61
legs,61
piece,61
taken,61
greatness,61
fled,61
blessed,61
saturninus,61
cheeks,61
short,61
drop,61
affection,61
drawn,61
fabian,61
large,61
book,61
making,61
daughters,60
desires,60
taste,60
excuse,60
offer,60
manner,60
double,60
owe,60
thence,60
stir,60
forest,60
shadow,60
whither,59
safe,59
holofernes,59
keeps,59
dot,59
round,59
nestor,59
dark,59
scarce,59
chamberlain,59
knowledge,59
lucetta,59
shouldst,59
advantage,59
alcibiades,59
endure,59
aumerle,59
laugh,59
foolish,59
gonzalo,59
woo,59
effect,59
bond,58
obey,58
seven,58
vow,58
terms,58
towards,58
boys,58
attendants,58
purse,58
oph,58
neck,58
fears,58
biondello,58
broke,58
guilty,58
miranda,58
moor,58
thurio,58
wert,58
alb,58
wealth,58
peter,57
de,57
private,57
malice,57
forbid,57
natures,57
precious,57
katherine,57
song,57
opinion,57
catesby,57
lo,57
patroclus,56
burgundy,56
florizel,56
goodly,56
blows,56
vows,56
foes,56
gaunt,56
cries,56
swords,56
room,56
approach,56
melancholy,56
lovers,56
due,56
reasons,56
ancient,56
cheek,56
smile,56
hermione,56
helen,56
brain,56
tear,56
heels,56
richmond,55
christian,55
story,55
fame,55
spend,55
wrongs,55
fill,55
throne,55
rose,55
alack,55
meat,54
struck,54
arviragus,54
amen,54
remembrance,54
coward,54
oaths,54
lawful,54
brow,54
ass,54
view,54
nym,54
hurt,54
hail,54
vain,54
finger,54
trinculo,54
affairs,54
fury,54
quiet,54
malcolm,53
beast,53
graces,53
clouds,53
traitors,53
whence,53
diana,53
steel,53
blind,53
lepidus,53
proper,53
mayst,53
leaves,53
gon,53
monstrous,53
argument,53
bones,53
adieu,53
loud,53
pleasd,53
subjects,53
archbishop,53
bright,53
rise,52
stars,52
former,52
arthur,52
follows,52
possible,52
edmund,52
colour,52
twice,52
knowst,52
casca,52
nose,52
fellows,52
virtues,52
juliet,52
wound,52
wales,52
courtesy,52
warlike,51
thunder,51
becomes,51
thrice,51
betwixt,51
murder,51
catch,51
red,51
request,51
cruel,51
blame,51
mortimer,51
mar,51
damnd,51
sort,51
broken,51
stanley,51
puck,51
swift,51
secret,51
nerissa,51
evil,50
seal,50
heat,50
leisure,50
monster,50
giving,50
instant,50
natural,50
jove,50
percy,50
poet,50
beyond,50
luciana,50
sometimes,50
offend,50
oliver,50
lancaster,50
rivers,50
cried,50
easy,50
cross,50
dreadful,50
wall,49
burn,49
demand,49
fat,49
choice,49
seeming,49
brook,49
spent,49
sum,49
breathe,49
wicked,49
minds,49
beggar,49
buried,49
train,49
longaville,49
public,49
grows,49
proceed,49
nine,49
quince,49
merchant,49
ferdinand,49
husbands,49
absence,49
nights,48
trial,48
yonder,48
wanton,48
gentlewoman,48
food,48
citizens,48
blunt,48
courage,48
deserve,48
pain,48
humbly,48
wait,48
alonso,48
puts,48
trouble,48
le,48
post,48
memory,48
benedick,48
horses,48
shore,48
embrace,47
thief,47
particular,47
receivd,47
doors,47
remain,47
ladys,47
rude,47
madness,47
tribunes,47
dry,47
winchester,47
wretched,47
glass,47
creature,47
chain,47
livd,47
sits,47
knock,47
griefs,47
abroad,47
idle,47
rough,47
mowbray,47
always,46
fourth,46
jewel,46
constance,46
hopes,46
menas,46
spring,46
dance,46
gate,46
sharp,46
party,46
manners,46
fail,46
realm,46
gift,46
cheer,46
although,46
repent,46
authority,46
quality,46
ros,45
tidings,45
faces,45
senators,45
gain,45
heavenly,45
summer,45
